"","year","trat","Cost","Price","gain","prob"
"8611",2001,"1x",15,0.125,"125.215306835246",0.406439056523065
"8612",2001,"1x",15,0.125,"74.267164456146",0.981041125961855
"8613",2001,"1x",15,0.125,"112.855457109599",0.627136881714269
"8614",2001,"1x",15,0.125,"116.664070114632",0.560174916064144
"8615",2001,"1x",15,0.125,"74.9997751874562",0.979448559462483
"8616",2001,"1x",15,0.125,"80.7371653397713",0.962631859484895
"8617",2001,"1x",15,0.125,"85.784718619148",0.939785897259771
"8618",2001,"1x",15,0.125,"88.638293200846",0.922698492834388
"8619",2001,"1x",15,0.125,"113.602871355285",0.614227968465613
"8620",2001,"1x",15,0.125,"60.491016585097",0.996543649683391
"8621",2002,"1x",15,0.125,"450.198893840683",0.00194392248206721
"8622",2002,"1x",15,0.125,"501.69103089018",0.000422911561229089
"8623",2002,"1x",15,0.125,"376.631281642504",0.0124201681213888
"8624",2002,"1x",15,0.125,"322.132742114736",0.0385836243463129
"8625",2002,"1x",15,0.125,"246.761903318131",0.133854672610405
"8626",2002,"1x",15,0.125,"201.37453353372",0.238385702095983
"8627",2002,"1x",15,0.125,"267.76186229799",0.0981841167439441
"8628",2002,"1x",15,0.125,"201.464303912903",0.238142659299044
"8629",2002,"1x",15,0.125,"175.923487262727",0.312430900080215
"8630",2002,"1x",15,0.125,"201.429902852136",0.238235780095485
"8631",2003,"1x",15,0.125,"145.762988668723",0.234629237470578
"8632",2003,"1x",15,0.125,"124.021582685897",0.455028421911065
"8633",2003,"1x",15,0.125,"177.475373074923",0.0532104220640086
"8634",2003,"1x",15,0.125,"199.513437387236",0.012756546294287
"8635",2003,"1x",15,0.125,"119.272262592428",0.508154709619629
"8636",2003,"1x",15,0.125,"155.737335219332",0.157721378813241
"8637",2003,"1x",15,0.125,"143.018442529373",0.258948215797655
"8638",2003,"1x",15,0.125,"119.984153260346",0.500177584050225
"8639",2003,"1x",15,0.125,"176.193379078408",0.0572276699375757
"8640",2003,"1x",15,0.125,"77.3790658483272",0.884391194161449
"8641",2004,"1x",15,0.125,"197.271784742506",0.127547672224711
"8642",2004,"1x",15,0.125,"265.505560629671",0.0160562098102867
"8643",2004,"1x",15,0.125,"160.281557487639",0.276501077261667
"8644",2004,"1x",15,0.125,"255.988388409357",0.0225972660964676
"8645",2004,"1x",15,0.125,"261.1595370357",0.0188086687450287
"8646",2004,"1x",15,0.125,"204.230071365192",0.107387500163194
"8647",2004,"1x",15,0.125,"157.492131412732",0.290410883898304
"8648",2004,"1x",15,0.125,"110.141776456777",0.557720394298765
"8649",2004,"1x",15,0.125,"109.747863815207",0.560009634258576
"8650",2004,"1x",15,0.125,"78.8942129699753",0.727545617583371
"8651",2005,"1x",15,0.125,"162.21130352544",0.106473231328441
"8652",2005,"1x",15,0.125,"164.442838795117",0.0948699687075996
"8653",2005,"1x",15,0.125,"173.974036531756",0.0556271873159346
"8654",2005,"1x",15,0.125,"180.010555482946",0.0383056059785326
"8655",2005,"1x",15,0.125,"132.044756111387",0.361145884953933
"8656",2005,"1x",15,0.125,"101.36564461478",0.70878304506113
"8657",2005,"1x",15,0.125,"108.265044843208",0.635425004074883
"8658",2005,"1x",15,0.125,"164.501357129365",0.0945787545388701
"8659",2005,"1x",15,0.125,"97.0711264807114",0.750653879306021
"8660",2005,"1x",15,0.125,"101.172201756579",0.710737602275217
"8661",2006,"1x",15,0.125,"60.3207075822074",1
"8662",2006,"1x",15,0.125,"70.6482809618619",0.999999999999938
"8663",2006,"1x",15,0.125,"79.0912232433056",0.999999999600956
"8664",2006,"1x",15,0.125,"73.6035087600649",0.999999999998412
"8665",2006,"1x",15,0.125,"73.1807678106761",0.999999999998991
"8666",2006,"1x",15,0.125,"59.294790460046",1
"8667",2006,"1x",15,0.125,"64.6355714301344",1
"8668",2006,"1x",15,0.125,"66.8093221086719",0.999999999999999
"8669",2006,"1x",15,0.125,"68.7436925896491",0.999999999999993
"8670",2006,"1x",15,0.125,"60.0086384271317",1
"8671",2007,"1x",15,0.125,"148.232414336936",0.196976485868723
"8672",2007,"1x",15,0.125,"125.91237737304",0.429156236354145
"8673",2007,"1x",15,0.125,"168.924336228637",0.0698032629557548
"8674",2007,"1x",15,0.125,"204.834265392264",0.00521032644401209
"8675",2007,"1x",15,0.125,"188.180608994237",0.0197616788581449
"8676",2007,"1x",15,0.125,"228.155486361311",0.000545916570504623
"8677",2007,"1x",15,0.125,"136.730966661331",0.306713652685604
"8678",2007,"1x",15,0.125,"134.1953304218",0.334098297645911
"8679",2007,"1x",15,0.125,"171.812797361589",0.0588531212049255
"8680",2007,"1x",15,0.125,"152.779309729749",0.161145009020321
"8681",1980,"2x",15,0.125,"156.613353502141",0.965479762311276
"8682",1980,"2x",15,0.125,"218.305789082635",0.681900041307771
"8683",1980,"2x",15,0.125,"187.975297493863",0.871674409617219
"8684",1980,"2x",15,0.125,"227.626157835545",0.606342216014952
"8685",1980,"2x",15,0.125,"169.643181989306",0.937491768739496
"8686",1980,"2x",15,0.125,"174.757220033881",0.922566328422869
"8687",1980,"2x",15,0.125,"233.668109131912",0.554903488477357
"8688",1980,"2x",15,0.125,"75.3031737214206",0.999835315998807
"8689",1980,"2x",15,0.125,"174.293086066588",0.92402356429976
"8690",1980,"2x",15,0.125,"205.101894526315",0.776646109556829
"8691",1981,"2x",15,0.125,"297.723399893063",0.278001339268859
"8692",1981,"2x",15,0.125,"338.990001764422",0.156315664753848
"8693",1981,"2x",15,0.125,"293.231997703843",0.29357313007627
"8694",1981,"2x",15,0.125,"292.847950138433",0.294923161470654
"8695",1981,"2x",15,0.125,"140.624389159282",0.844624956181195
"8696",1981,"2x",15,0.125,"148.162752714294",0.825558136512513
"8697",1981,"2x",15,0.125,"121.891712399342",0.885845471726945
"8698",1981,"2x",15,0.125,"260.455986519003",0.417358864724369
"8699",1981,"2x",15,0.125,"40.480933988867",0.979081148539179
"8700",1981,"2x",15,0.125,"183.07269825554",0.719268177902076
"8701",1982,"2x",15,0.125,"246.968095297841",0.46770727634233
"8702",1982,"2x",15,0.125,"201.83776221844",0.671407204209462
"8703",1982,"2x",15,0.125,"366.372776462658",0.0708304706554628
"8704",1982,"2x",15,0.125,"364.401295463231",0.0739895267875603
"8705",1982,"2x",15,0.125,"225.472045932494",0.56708230376365
"8706",1982,"2x",15,0.125,"332.006952503994",0.142313816301814
"8707",1982,"2x",15,0.125,"386.35939101127",0.0443715632891819
"8708",1982,"2x",15,0.125,"324.58416197573",0.162641543128243
"8709",1982,"2x",15,0.125,"223.486257524522",0.576146197703103
"8710",1982,"2x",15,0.125,"129.695652835875",0.900213386736374
"8711",1983,"2x",15,0.125,"135.039676617321",0.99419848019571
"8712",1983,"2x",15,0.125,"285.640191608891",0.136208219603646
"8713",1983,"2x",15,0.125,"159.886616673686",0.972978727414043
"8714",1983,"2x",15,0.125,"178.138709459464",0.93156985464655
"8715",1983,"2x",15,0.125,"194.643616492665",0.862295339207666
"8716",1983,"2x",15,0.125,"169.42848780388",0.955155542652732
"8717",1983,"2x",15,0.125,"162.849999408464",0.968218634407213
"8718",1983,"2x",15,0.125,"165.298148128384",0.963781654076603
"8719",1983,"2x",15,0.125,"160.387876871141",0.97221811924281
"8720",1983,"2x",15,0.125,"208.129184509054",0.778281140183821
"8721",1984,"2x",15,0.125,"257.992548279418",0.373828586976098
"8722",1984,"2x",15,0.125,"310.839294656884",0.102631564986424
"8723",1984,"2x",15,0.125,"241.893699013974",0.486493679687197
"8724",1984,"2x",15,0.125,"304.780652837101",0.12335815164848
"8725",1984,"2x",15,0.125,"164.297027586103",0.912078732027341
"8726",1984,"2x",15,0.125,"273.490261862475",0.274636685995694
"8727",1984,"2x",15,0.125,"239.762635976203",0.501693256192409
"8728",1984,"2x",15,0.125,"175.912557286428",0.874095512475711
"8729",1984,"2x",15,0.125,"311.762836625872",0.0997088030294766
"8730",1984,"2x",15,0.125,"185.791372264859",0.833807365160086
"8731",1985,"2x",15,0.125,"156.018411016078",0.983580113475448
"8732",1985,"2x",15,0.125,"121.147410812312",0.998736692600476
